[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001140s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.000991s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000768s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001023s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004150s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003111s ]
[ 2012-06-11T00:03:37+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003209s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run CheckRoute Behavior [ RunTime:0.002345s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002490s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001695s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001785s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007534s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000424s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007192s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000394s ]
