[ 2012-08-17T22:18:41+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004628s ]
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002584s ]
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002708s ]
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001578s ]
[ 2012-08-17T22:25:32+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001650s ]
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003219s ]
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003418s ]
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002413s ]
[ 2012-08-17T22:25:58+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002532s ]
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002721s ]
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002855s ]
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001457s ]
[ 2012-08-17T22:26:18+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001529s ]
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002217s ]
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002348s ]
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001381s ]
[ 2012-08-17T22:26:41+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001468s ]
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001691s ]
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001860s ]
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001184s ]
[ 2012-08-17T22:26:48+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001257s ]
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002216s ]
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002412s ]
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001655s ]
[ 2012-08-17T22:26:54+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001776s ]
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002637s ]
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002805s ]
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001281s ]
[ 2012-08-17T22:30:45+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001354s ]
[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001587s ]
[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001723s ]
[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001156s ]
