[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001812s ]
[ 2012-08-27T23:32:39+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=25396&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001911s ]
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.018250s ]
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.018432s ]
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002988s ]
[ 2012-08-27T23:32:39+08:00 ] /announce.php?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=4112&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003083s ]
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Tag[ route_check ] --START--
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Run CheckRoute Behavior [ RunTime:0.001677s ]
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Tag[ route_check ] --END-- [ RunTime:0.001821s ]
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Tag[ app_begin ] --START--
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001461s ]
[ 2012-08-27T23:32:58+08:00 ] /announce?info_hash=c6%15%FA%5B%8B%195%92%D6%B9R%D9%01%C6%87%B0%D3i%9E&peer_id=%2DSD0100%2D%F1%0F%03%0C%E7%BAt%F7%CCP%BA%1C&ip=101.38.93.32&port=11138&uploaded=0&downloaded=0&left=875664007&numwant=200&key=22484&compact=1&event=started | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001540s ]
