[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.003317s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003454s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003321s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003419s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005608s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000444s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.005711s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | NOTIC: [8] Undefined index: id DiaryAction.class.php 第 19 行.
[ 2012-08-21T22:51:13+08:00 ] /diary/ | NOTIC: [8] Undefined index: archive DiaryAction.class.php 第 20 行.
[ 2012-08-21T22:51:13+08:00 ] /diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000583s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000345s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.057674s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.057783s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.103399s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.103507s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.002876s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.002839s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004834s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002407s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013247s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_end ] --START--
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002182s ]
[ 2012-08-21T22:51:13+08:00 ] /diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002267s ]
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002226s ]
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002351s ]
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002100s ]
[ 2012-08-21T22:51:15+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002184s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run CheckRoute Behavior [ RunTime:0.002382s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002516s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002080s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002156s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002989s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003106s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run ParseTemplate Behavior [ RunTime:0.120904s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.121049s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run ContentReplace Behavior [ RunTime:0.003115s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run TokenBuild Behavior [ RunTime:0.002922s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003077s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002454s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011923s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_end ] --START--
