[ 2012-06-12T00:04:53+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001430s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Run CheckRoute Behavior [ RunTime:0.001567s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001698s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001090s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001186s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | NOTIC: [8] Undefined index: mod UserAction.class.php 第 18 行.
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | SQL: SHOW COLUMNS FROM `my_user` [ RunTime:0.007744s ]
[ 2012-06-12T00:04:57+08:00 ] /me/user/login_p.html | SQL: SELECT * FROM `my_user` WHERE ( `username` = '111' ) AND ( `password` = '' ) LIMIT 1   [ RunTime:0.001085s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002390s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002542s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001429s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001517s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001229s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001329s ]
[ 2012-06-12T00:05:47+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
