[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012650s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004085s ]
[ 2012-06-13T22:49:55+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004228s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001643s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001771s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001380s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001473s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002289s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002404s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017490s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017598s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run ContentReplace Behavior [ RunTime:0.001178s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run TokenBuild Behavior [ RunTime:0.001134s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000889s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001165s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004593s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002712s ]
[ 2012-06-13T22:50:00+08:00 ] /me/message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002816s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.001670s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001799s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001479s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001561s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007036s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000401s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006334s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000669s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000286s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001467s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001570s ]
[ 2012-06-13T22:50:02+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019265s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019380s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001180s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.001186s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001137s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001878s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005666s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001359s ]
[ 2012-06-13T22:50:03+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001441s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run CheckRoute Behavior [ RunTime:0.001943s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002097s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001469s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001145s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001237s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017635s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017742s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run ContentReplace Behavior [ RunTime:0.001237s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run TokenBuild Behavior [ RunTime:0.001585s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001282s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001706s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006064s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001727s ]
[ 2012-06-13T22:50:08+08:00 ] /me/message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001828s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.001965s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002132s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003873s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003975s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.005799s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000430s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006076s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000721s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000452s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001346s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001439s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019816s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019915s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001165s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.001044s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000865s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001197s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004684s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001325s ]
[ 2012-06-13T22:50:11+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001410s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001534s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001669s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.006487s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000656s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.006308s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000498s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002150s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002250s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018159s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018257s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.001235s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.002220s ]
